Countries;Source;Type;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
Peru; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Spirits;2.26;2.26;2.26;2.07;2.08;1.88;1.67;1.65;1.67;1.68
Peru; (WDT) 1961-1999, (FAO, GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Philippines; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;4.85;4.91;4.75;4.53;4.52;4.61;4.61;4.96;4.85;4.73
Philippines; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;1.47;1.47;1.38;1.23;1.11;1.1;1.09;1.25;1.28;1.29
Philippines; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02
Philippines; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;3.34;3.4;3.33;3.26;3.37;3.47;3.48;3.67;3.43;3.29
Philippines; (FAO) 1961-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.03;0.12;0.14
Poland; (WDT) 1961-1999, WHO 2000-2004, Statistics Poland 2005-2018; All types;10.96;10.62;10.53;10.43;10.47;10.45;10.8;10.21;10.24;10.07
Poland; (WDT) 1961-1999, WHO 2000-2004, Statistics Poland 2005-2018; Beer;5.72;5.9;5.78;5.84;5.82;5.8;5.74;5.84;5.56;5.32
Poland; (WDT) 1961-1999, WHO 2000-2004, Statistics Poland 2005-2018; Wine;0.88;0.85;0.87;0.83;0.89;0.89;0.82;0.83;0.91;0.98
Poland; (WDT) 1961-1999, WHO 2000-2004, Statistics Poland 2005-2018; Spirits;4.36;3.88;3.87;3.76;3.76;3.76;4.23;3.53;3.77;3.77
Poland; (WDT) 1961-1999, WHO 2000-2004, Statistics Poland 2005-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Portugal; (WDT) 1963-1999, Statistics Portugal 2000-2016; All types;10.37;10.37;10.37;10.37;10.34;10.2;9.52;9.76;10.86;11.26
Portugal; (WDT) 1963-1999, Statistics Portugal 2000-2016; Beer;2.62;2.62;2.62;2.62;2.57;2.47;2.58;2.64;2.75;3.03
Portugal; (WDT) 1963-1999, Statistics Portugal 2000-2016; Wine;6.04;6.04;6.04;6.04;6.05;5.96;5.16;5.34;6.37;6.44
Portugal; (WDT) 1963-1999, Statistics Portugal 2000-2016; Spirits;1.34;1.34;1.34;1.34;1.34;1.4;1.4;1.4;1.4;1.41
Portugal; (WDT) 1963-1999, Statistics Portugal 2000-2016; Other alcoholic beverages;0.37;0.37;0.37;0.37;0.37;0.38;0.38;0.38;0.32;0.38
Qatar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;0.96;0.99;1;1.01;1.03;1.01;1.03;1.03;1.05;1.07
Qatar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;0.29;0.29;0.29;0.29;0.28;0.28;0.29;0.31;0.3;0.31
Qatar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.07;0.08;0.08;0.08;0.08;0.08;0.09;0.09;0.09;0.09
Qatar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;0.59;0.61;0.63;0.63;0.66;0.63;0.65;0.63;0.66;0.66
Qatar; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0.01
Republic of Korea; (FAO) 1961-1999, WHO 2000-2017; All types;7.74;7.74;7.31;7.94;8.27;8.03;8.77;8.98;8.86;8.9
Republic of Korea; (FAO) 1961-1999, WHO 2000-2017; Beer;1.72;1.72;1.8;1.89;1.9;1.91;2.1;1.98;1.93;1.89
Republic of Korea; (FAO) 1961-1999, WHO 2000-2017; Wine;0.15;0.15;0.14;0.15;0.17;0.15;0.15;0.13;0.13;0.14
Republic of Korea; (FAO) 1961-1999, WHO 2000-2017; Spirits;0.22;0.22;0.24;0.24;0.3;0.28;0.38;0.37;0.38;0.4
Republic of Korea; (FAO) 1961-1999, WHO 2000-2017; Other alcoholic beverages;5.66;5.66;5.13;5.65;5.9;5.69;6.14;6.5;6.42;6.48
Republic of Moldova; (FAO) 1992-1999, (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017; All types;7.45;7.45;7.44;7.22;6.76;7.4;8.48;8.3;8.21;6.92
Republic of Moldova; (FAO) 1992-1999, (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017; Beer;1.53;1.53;1.51;1.5;1.52;1.62;1.78;1.95;1.83;1.65
Republic of Moldova; (FAO) 1992-1999, (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017; Wine;3.57;3.57;3.44;3.35;2.68;2.75;3.19;3.49;3.66;2.98
Republic of Moldova; (FAO) 1992-1999, (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017; Spirits;2.25;2.25;2.25;2.09;2.34;2.83;3.13;2.55;2.07;1.68
Republic of Moldova; (FAO) 1992-1999, (GlobalData, IWSR, OIV, Statistical Yearbook of the Republic of Moldova) 2000-2017; Other alcoholic beverages;0.1;0.1;0.25;0.27;0.22;0.2;0.38;0.31;0.65;0.62
Romania; (WDT) 1963-1999, National Institute of Statistics 2000-2017; All types;10.96;10.96;10.14;9.57;9.45;9.48;9.65;9.66;9.58;10.01
Romania; (WDT) 1963-1999, National Institute of Statistics 2000-2017; Beer;5.33;5.33;5.28;5.25;5.22;4.86;5.14;5.35;5;4.83
Romania; (WDT) 1963-1999, National Institute of Statistics 2000-2017; Wine;3.38;3.38;3.09;2.55;2.7;3.21;3.08;3;3.03;3.16
Romania; (WDT) 1963-1999, National Institute of Statistics 2000-2017; Spirits;2.25;2.25;1.77;1.77;1.54;1.42;1.42;1.3;1.54;2.02
Romania; (WDT) 1963-1999, National Institute of Statistics 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Russian Federation; (WDT) 1963-1999, Russian Statistical Office (ROSSTAT) 2000-2018; All types;7.29;7.28;7.15;7.73;8.06;8.86;9.77;10.56;10.75;10.82
Russian Federation; (WDT) 1963-1999, Russian Statistical Office (ROSSTAT) 2000-2018; Beer;3.04;3.03;2.91;3.38;3.49;3.83;4.17;4.15;4.14;4.12
Russian Federation; (WDT) 1963-1999, Russian Statistical Office (ROSSTAT) 2000-2018; Wine;0.97;0.97;0.97;0.85;0.84;0.84;0.83;0.95;0.95;1.06
Russian Federation; (WDT) 1963-1999, Russian Statistical Office (ROSSTAT) 2000-2018; Spirits;3.16;3.16;3.15;3.38;3.49;3.95;4.65;5.34;5.44;5.41
Russian Federation; (WDT) 1963-1999, Russian Statistical Office (ROSSTAT) 2000-2018; Other alcoholic beverages;0.12;0.12;0.12;0.12;0.24;0.24;0.12;0.12;0.24;0.24
Rwanda; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;6.35;6.35;6.33;6.27;6.31;6.5;6.15;6.43;6.66;7.13
Rwanda; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.23;0.23;0.21;0.24;0.23;0.19;0.21;0.2;0.18;0.16
Rwanda; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.03;0.03;0.03;0.02;0.02;0.01;0.01;0.01;0.01;0.01
Rwanda; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.09;0.09;0.09;0.02;0.07;0.13;0.19;0.14;0.09;0.04
Rwanda; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;6;6;6;6;6;6.17;5.74;6.08;6.38;6.92
Saint Kitts and Nevis; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; All types;8.84;8.72;8.71;8.56;8.37;8.49;8.39;8.43;8.51;8.51
Saint Kitts and Nevis; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Beer;3.73;3.73;3.72;3.38;3.25;3.32;3.34;3.35;3.37;3.39
Saint Kitts and Nevis; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Wine;1.02;0.99;0.94;0.86;0.83;0.75;0.7;0.72;0.85;0.99
Saint Kitts and Nevis; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Spirits;3.89;3.8;3.86;4.11;4.1;4.23;4.17;4.19;4.09;3.93
Saint Kitts and Nevis; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.21;0.2;0.19;0.2;0.2;0.18;0.17;0.17;0.21;0.2
Saint Lucia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;9.3;9.3;9.67;9.43;9.23;9.18;8.93;9.62;9.94;10.33
Saint Lucia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;3.21;3.21;3.42;3.4;3.32;3.24;3.24;3.24;3.23;3.26
Saint Lucia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.4;0.4;0.66;0.52;0.62;0.76;0.64;0.9;0.9;0.98
Saint Lucia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;5.1;5.1;4.99;4.92;4.83;4.74;4.61;4.98;5.27;5.51
Saint Lucia; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.6;0.6;0.59;0.6;0.45;0.45;0.44;0.49;0.53;0.58
Saint Vincent and the Grenadines; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; All types;7.48;7.51;7.81;7.78;7.41;7.12;6.96;6.81;7.04;7.19
Saint Vincent and the Grenadines; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Beer;2.52;2.52;2.74;2.7;2.58;2.48;2.41;2.34;2.36;2.32
Saint Vincent and the Grenadines; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Wine;0.24;0.25;0.36;0.44;0.44;0.37;0.24;0.19;0.3;0.52
Saint Vincent and the Grenadines; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Spirits;4.48;4.52;4.49;4.42;4.21;4.1;4.15;4.15;4.27;4.22
Saint Vincent and the Grenadines; (FAO) 1990-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.23;0.21;0.21;0.22;0.18;0.17;0.16;0.13;0.12;0.14
Samoa; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;2.18;2.18;2.06;2.29;2.1;2.05;1.84;2.1;2.1;2.96
Samoa; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;2.01;2.01;1.87;2.09;1.9;1.9;1.82;2.09;1.94;2.57
Samoa; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0;0;0.01;0.02;0.03;0.03;0.02;0.01;0.03;0.04
Samoa; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.17;0.17;0.17;0.18;0.17;0.12;0;0;0.12;0.35
Samoa; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Sao Tome and Principe; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; All types;4.23;4.33;4.33;4.74;5;5.63;5.4;5.65;6.31;5
Sao Tome and Principe; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Beer;0.42;0.42;0.42;0.7;0.76;0.84;0.92;0.47;0.69;0.81
Sao Tome and Principe; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Wine;3.58;3.68;3.68;3.77;3.9;4.49;4.48;5.18;5.11;3.66
Sao Tome and Principe; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Spirits;0.23;0.23;0.23;0.27;0.34;0.3;0;0;0.51;0.53
Sao Tome and Principe; (FAO) 1961-2000, (FAO, Wine Institute) 2001-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Saudi Arabia; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; All types;0;0;0;0;0;0;0;0;0;0
Saudi Arabia; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Beer;0;0;0;0;0;0;0;0;0;0
Saudi Arabia; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Wine;0;0;0;0;0;0;0;0;0;0
Saudi Arabia; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Spirits;0;0;0;0;0;0;0;0;0;0
Saudi Arabia; (FAO) 1961-1999, (FAO, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Senegal; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;0.25;0.25;0.23;0.23;0.19;0.19;0.19;0.19;0.21;0.18
Senegal; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;0.21;0.21;0.19;0.19;0.14;0.14;0.14;0.14;0.15;0.14
Senegal; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02
Senegal; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.04;0.03
Senegal; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Serbia; (GlobalData, IWSR, OIV) 2006-2018; All types;7.45;7.62;7.4;7.31;7.2;7.19;7.94;8.78;8.55;8.87
Serbia; (GlobalData, IWSR, OIV) 2006-2018; Beer;3.24;3.24;3.12;3.07;3.1;2.95;3.06;3.25;3.32;3.32
Serbia; (GlobalData, IWSR, OIV) 2006-2018; Wine;1.62;1.8;1.72;1.7;1.6;1.76;2.41;3.02;2.72;3.04
Serbia; (GlobalData, IWSR, OIV) 2006-2018; Spirits;2.37;2.34;2.33;2.3;2.27;2.26;2.25;2.28;2.29;2.29
Serbia; (GlobalData, IWSR, OIV) 2006-2018; Other alcoholic beverages;0.22;0.24;0.23;0.23;0.23;0.22;0.22;0.23;0.21;0.22
Seychelles; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; All types;9.48;9.36;8.88;8.93;8.7;8.44;8.32;8.89;7.83;5.54
Seychelles; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Beer;4.11;4.11;3.8;3.94;3.89;3.79;3.89;4.34;3.91;2.77
Seychelles; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Wine;0.49;0.49;0.46;0.47;0.47;0.46;0.47;0.52;0.47;0.33
Seychelles; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Spirits;4.62;4.41;4.31;4.24;4.07;4.01;3.86;3.95;3.33;2.36
Seychelles; (FAO) 1961-1999, (FAO, GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.25;0.35;0.33;0.28;0.27;0.19;0.1;0.07;0.13;0.08
Sierra Leone; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;3.22;3.22;3.2;3.03;3.06;3.04;3.12;3.19;3.41;3.48
Sierra Leone; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;0.17;0.17;0.14;0.1;0.12;0.12;0.22;0.18;0.17;0.16
Sierra Leone; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.01;0;0;0;0;0;0;0.01;0.01;0
Sierra Leone; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.15;0.15;0.15;0.03;0.03;0.02;0;0;0.02;0.02
Sierra Leone; (FAO) 1990-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;2.9;2.9;2.9;2.9;2.9;2.9;2.9;3;3.21;3.29
Singapore; (FAO) 1961-1984, (WDT) 1985-2002, Singapore National Statistics 2003-2018; All types;1.81;1.85;1.8;1.84;1.82;1.84;1.86;1.94;1.89;1.84
Singapore; (FAO) 1961-1984, (WDT) 1985-2002, Singapore National Statistics 2003-2018; Beer;1.26;1.25;1.25;1.28;1.27;1.29;1.24;1.35;1.31;1.29
Singapore; (FAO) 1961-1984, (WDT) 1985-2002, Singapore National Statistics 2003-2018; Wine;0.27;0.3;0.27;0.27;0.27;0.27;0.28;0.27;0.27;0.25
Singapore; (FAO) 1961-1984, (WDT) 1985-2002, Singapore National Statistics 2003-2018; Spirits;0.24;0.27;0.24;0.25;0.25;0.24;0.3;0.29;0.28;0.27
Singapore; (FAO) 1961-1984, (WDT) 1985-2002, Singapore National Statistics 2003-2018; Other alcoholic beverages;0.04;0.04;0.03;0.04;0.03;0.03;0.03;0.03;0.03;0.03
Slovakia; (WDT) 1961-1999, Statistics Slovakia (SlovStat) 2000-2017; All types;10.3;10.05;9.69;9.91;10.27;10.26;9.9;10.14;10.27;10.16
Slovakia; (WDT) 1961-1999, Statistics Slovakia (SlovStat) 2000-2017; Beer;4.14;3.43;3.43;3.19;3.42;3.3;3.42;3.66;3.54;3.43
Slovakia; (WDT) 1961-1999, Statistics Slovakia (SlovStat) 2000-2017; Wine;2.01;2.25;2.13;2.36;2.6;2.83;2.36;2.12;2.24;2.13
Slovakia; (WDT) 1961-1999, Statistics Slovakia (SlovStat) 2000-2017; Spirits;4.14;4.38;4.13;4.37;4.25;4.13;4.13;4.36;4.48;4.61
Slovakia; (WDT) 1961-1999, Statistics Slovakia (SlovStat) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Slovenia; (FAO) 1981-1999, WHO 2000-2005, National Institute of Public Health 2006-2018; All types;11.05;9.99;10.12;10.51;11.49;10.92;9.53;10.95;10.61;10.33
Slovenia; (FAO) 1981-1999, WHO 2000-2005, National Institute of Public Health 2006-2018; Beer;4.54;4.66;4.59;4.35;5.73;5.37;4.55;4.58;4.94;4.59
Slovenia; (FAO) 1981-1999, WHO 2000-2005, National Institute of Public Health 2006-2018; Wine;5.26;4.13;4.6;5.32;4.9;4.73;4.09;5.5;4.81;4.85
Slovenia; (FAO) 1981-1999, WHO 2000-2005, National Institute of Public Health 2006-2018; Spirits;1.26;1.2;0.93;0.84;0.86;0.82;0.89;0.87;0.86;0.89
Slovenia; (FAO) 1981-1999, WHO 2000-2005, National Institute of Public Health 2006-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Solomon Islands; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; All types;1.19;1.18;1.23;1.29;1.01;0.95;0.94;0.97;1.03;1.09
Solomon Islands; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Beer;1.1;1.1;1.15;1.21;0.93;0.9;0.93;0.95;0.98;0.99
Solomon Islands; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Wine;0.06;0.05;0.06;0.06;0.05;0.02;0.01;0.01;0.02;0.03
Solomon Islands; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Spirits;0.02;0.02;0.02;0.02;0.02;0.02;0;0;0.03;0.07
Solomon Islands; (FAO) 1961-1999, (FAO, GlobalData, Wine Institute) 2000-2017; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Somalia; (FAO) 1961-2016; All types;0;0;0;0;0;0;0;0;0;0
Somalia; (FAO) 1961-2016; Beer;0;0;0;0;0;0;0;0;0;0
Somalia; (FAO) 1961-2016; Wine;0;0;0;0;0;0;0;0;0;0
Somalia; (FAO) 1961-2016; Spirits;0;0;0;0;0;0;0;0;0;0
Somalia; (FAO) 1961-2016; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
South Africa; (WDT) 1961-1999,  (SAWIS) 2000-2018; All types;7.21;7.19;7.34;7.26;7.2;7.21;7.21;7.22;7.17;7.07
South Africa; (WDT) 1961-1999,  (SAWIS) 2000-2018; Beer;3.99;3.9;3.96;3.98;3.99;4.01;4.04;4.04;4.05;4.02
South Africa; (WDT) 1961-1999,  (SAWIS) 2000-2018; Wine;1.21;1.32;1.4;1.38;1.36;1.28;1.21;1.21;1.2;1.19
South Africa; (WDT) 1961-1999,  (SAWIS) 2000-2018; Spirits;1.31;1.3;1.3;1.27;1.26;1.29;1.28;1.29;1.29;1.28
South Africa; (WDT) 1961-1999,  (SAWIS) 2000-2018; Other alcoholic beverages;0.7;0.68;0.68;0.63;0.6;0.63;0.69;0.68;0.64;0.59
Spain; (WDT) 1962-99, Agencia Tributaria 2000-04,  WHO  2005-09, (Spain,WHO) 2010, (Spain) 2011-18; All types;10.73;10.39;10.85;10.81;10.35;7.85;8.55;8.6;8.74;8.94
Spain; (WDT) 1962-99, Agencia Tributaria 2000-04,  WHO  2005-09, (Spain,WHO) 2010, (Spain) 2011-18; Beer;4.67;4.57;4.5;4.31;4.17;4.31;4.13;4.12;4.11;4.09
Spain; (WDT) 1962-99, Agencia Tributaria 2000-04,  WHO  2005-09, (Spain,WHO) 2010, (Spain) 2011-18; Wine;3.52;3.33;3.87;3.86;3.7;1.21;2.09;2.13;2.06;2.15
Spain; (WDT) 1962-99, Agencia Tributaria 2000-04,  WHO  2005-09, (Spain,WHO) 2010, (Spain) 2011-18; Spirits;2.34;2.3;2.3;2.46;2.31;2.16;2.18;2.18;2.41;2.53
Spain; (WDT) 1962-99, Agencia Tributaria 2000-04,  WHO  2005-09, (Spain,WHO) 2010, (Spain) 2011-18; Other alcoholic beverages;0.19;0.18;0.18;0.19;0.18;0.17;0.16;0.17;0.17;0.17
Sri Lanka; (FAO) 1961-1999, (Excise Data, WHO ) 2000-2011, Excise Data 2012-2017; All types;2.58;2.58;2.58;2.65;2.72;2.45;2.65;2.89;3.03;2.31
Sri Lanka; (FAO) 1961-1999, (Excise Data, WHO ) 2000-2011, Excise Data 2012-2017; Beer;0.22;0.22;0.22;0.21;0.36;0.37;0.4;0.4;0.28;0.3
Sri Lanka; (FAO) 1961-1999, (Excise Data, WHO ) 2000-2011, Excise Data 2012-2017; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0;0;0;0
Sri Lanka; (FAO) 1961-1999, (Excise Data, WHO ) 2000-2011, Excise Data 2012-2017; Spirits;2.32;2.32;2.32;2.38;2.31;2.03;2.18;2.42;2.7;1.97
Sri Lanka; (FAO) 1961-1999, (Excise Data, WHO ) 2000-2011, Excise Data 2012-2017; Other alcoholic beverages;0.03;0.03;0.03;0.04;0.04;0.05;0.06;0.06;0.05;0.04
Suriname; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; All types;6.6;5.97;5.86;5.69;4.75;5.39;5.84;5.79;5.69;5.27
Suriname; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Beer;3.4;3.4;3.33;3.27;2.06;2.15;2.11;2.07;2.04;2.04
Suriname; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Wine;0.14;0.12;0.12;0.11;0.12;0.14;0.13;0.2;0.23;0.14
Suriname; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Spirits;2.87;2.31;2.3;2.19;2.44;2.94;3.37;3.3;3.22;2.91
Suriname; (FAO) 1961-1999, (GlobalData, IWSR) 2000-2018; Other alcoholic beverages;0.18;0.13;0.11;0.11;0.13;0.15;0.22;0.22;0.2;0.17
Sweden; (WDT) 1961-1999, Central Association for Alcohol and Drug Information 2000-2018; All types;7.1;7.2;7.04;7.15;7.13;7.2;7.32;7.23;7.31;7.38
Sweden; (WDT) 1961-1999, Central Association for Alcohol and Drug Information 2000-2018; Beer;2.6;2.69;2.57;2.65;2.62;2.64;2.65;2.63;2.67;2.74
Sweden; (WDT) 1961-1999, Central Association for Alcohol and Drug Information 2000-2018; Wine;3.4;3.38;3.36;3.39;3.4;3.46;3.5;3.43;3.47;3.4
Sweden; (WDT) 1961-1999, Central Association for Alcohol and Drug Information 2000-2018; Spirits;1;1;0.99;1;1;0.99;1.06;1.05;1.05;1.11
Sweden; (WDT) 1961-1999, Central Association for Alcohol and Drug Information 2000-2018; Other alcoholic beverages;0.1;0.13;0.12;0.11;0.11;0.11;0.11;0.12;0.12;0.13
Switzerland; (WDT) 1961-1999, Federal Customs Administration 2000-2018; All types;9.41;9.17;9.16;9.28;9.62;9.62;9.74;9.87;9.99;10.01
Switzerland; (WDT) 1961-1999, Federal Customs Administration 2000-2018; Beer;3.17;3.17;3.05;3.05;3.17;3.17;3.17;3.17;3.17;3.18
Switzerland; (WDT) 1961-1999, Federal Customs Administration 2000-2018; Wine;4.35;4.23;4.23;4.34;4.58;4.58;4.69;4.7;4.82;4.94
Switzerland; (WDT) 1961-1999, Federal Customs Administration 2000-2018; Spirits;1.76;1.65;1.76;1.76;1.76;1.76;1.76;1.88;1.88;1.77
Switzerland; (WDT) 1961-1999, Federal Customs Administration 2000-2018; Other alcoholic beverages;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
Syrian Arab Republic; (FAO) 1961-1999, IWSR 2000-2018; All types;0.13;0.16;0.12;0.18;0.23;0.19;0.15;0.21;0.6;0.77
Syrian Arab Republic; (FAO) 1961-1999, IWSR 2000-2018; Beer;0.02;0.02;0.02;0.02;0.03;0.02;0.02;0.02;0.09;0.11
Syrian Arab Republic; (FAO) 1961-1999, IWSR 2000-2018; Wine;0;0;0;0;0;0;0;0;0.01;0
Syrian Arab Republic; (FAO) 1961-1999, IWSR 2000-2018; Spirits;0.11;0.14;0.1;0.15;0.2;0.17;0.13;0.19;0.5;0.65
Syrian Arab Republic; (FAO) 1961-1999, IWSR 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Turkiye; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2004, Turkish Statistical Institute 2005-2018; All types;1.18;1.18;1.29;1.22;1.32;1.39;1.33;1.47;1.47;1.42
Turkiye; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2004, Turkish Statistical Institute 2005-2018; Beer;0.67;0.67;0.74;0.74;0.74;0.78;0.72;0.84;0.79;0.79
Turkiye; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2004, Turkish Statistical Institute 2005-2018; Wine;0.16;0.16;0.14;0.11;0.13;0.13;0.13;0.12;0.13;0.13
Turkiye; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2004, Turkish Statistical Institute 2005-2018; Spirits;0.35;0.35;0.41;0.38;0.44;0.47;0.48;0.51;0.56;0.51
Turkiye; (WDT) 1961-1999, (GlobalData, IWSR, OIV) 2000-2004, Turkish Statistical Institute 2005-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
Tajikistan; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; All types;0.85;0.86;0.89;0.88;0.92;0.83;0.8;0.77;0.71;0.68
Tajikistan; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Beer;0.38;0.38;0.39;0.35;0.36;0.36;0.4;0.37;0.37;0.29
Tajikistan; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Wine;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01
Tajikistan; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Spirits;0.45;0.46;0.48;0.51;0.54;0.46;0.38;0.39;0.32;0.37
Tajikistan; (FAO) 1992-1999, (GlobalData, IWSR, OIV) 2000-2018; Other alcoholic beverages;0;0;0;0;0;0;0;0;0;0
